Col1,Col2,Col3,Col4
,,by ,Rate this book
,,Roberto Bolaño,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.21 avg rating — 49,347 ratings",
,,"score: 37, and 1 person voted ?",
87,Evicted: Poverty and Profit...,Evicted: Poverty and Profit in the American City,Want to Read
,,by ,Rate this book
,,Matthew Desmond (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.47 avg rating — 101,818 ratings",
,,"score: 36, and 1 person voted ?",
88,Just Kids,Just Kids,Want to Read
,,by ,Rate this book
,,Patti Smith (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.21 avg rating — 297,719 ratings",
,,"score: 35, and 1 person voted ?",
89,The Devil in the White City,The Devil in the White City,Want to Read
,,by ,Rate this book
,,Erik Larson (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,,"4.00 avg rating — 700,620 ratings",
,,"score: 33, and 1 person voted ?",
90,Know My Name,Know My Name,Want to Read
,,by ,Rate this book
,,Chanel Miller,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.70 avg rating — 213,733 ratings",
,,"score: 31, and 1 person voted ?",
91,"Sing, Unburied, Sing","Sing, Unburied, Sing",Want to Read
,,by ,Rate this book
,,Jesmyn Ward (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.01 avg rating — 139,048 ratings",
,,"score: 30, and 1 person voted ?",
92,Crying in H Mart,Crying in H Mart,Want to Read
,,by ,Rate this book
,,Michelle Zauner,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.26 avg rating — 463,960 ratings",
,,"score: 29, and 1 person voted ?",
93,Deacon King Kong,Deacon King Kong,Want to Read
,,by ,Rate this book
,,James McBride (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
